ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK.B
UNH
JPM
JNJ
V
PG
XOM
MA
HD
LLY
MRK
PEP
AVGO
COST
ABBV
KO
ADBE
TMO
NFLX
CRM
WMT
CSCO
ACN
ABT
CVX
DHR
MCD
NKE
LIN
WFC
INTC
NEE
TXN
AMD
BMY
PM
UPS
RTX
AMGN
ORCL
IBM
QCOM
SBUX
GE
BA
GS
CAT
AMT
BLK
MDT
ISRG
LMT
DE
NOW
INTU
HON
LOW
SPGI
ADI
MO
T
ZTS
VRTX
ELV
MMC
SYK
PGR
GILD
CB
TGT
CI
ADP
PLD
C
BDX
TJX
CL
SO
USB
PNC
ICE
SCHW
GM
MS
DUK
APD
FISV
AON
BKNG
CME
ETN
FDX
MU
